Prognosis,Symptoms
Cat scratch disease,"arm cramps or spasms, arm stiffness or tightness, feet turned in, frontal headache, hand or finger weakness, itchy ear(s), long menstrual periods, neck stiffness or tightness, skin irritation, skin pain, skin rash, swollen abdomen"
Chronic glaucoma,"bleeding or discharge from nipple, diminished hearing, dizziness, excessive urination at night, foot or toe weakness, irritable infant, lack of growth, mass on ear, pain during pregnancy, sore throat, symptoms of bladder, wheezing"
Retinal detachment,"abnormal involuntary movements, bleeding from ear, bleeding or discharge from nipple, chills, diminished hearing, dizziness, excessive urination at night, irritable infant, lack of growth, pain during pregnancy, sore throat, symptoms of bladder"
Aplastic anemia,"fainting, fears and phobias, feet turned in, fluid in ear, hostile behavior, knee weakness, leg swelling, melena, nasal congestion, sleepwalking, vomiting, warts"
Overflow incontinence,"blood in stool, excessive growth, flushing, frequent menstruation, hand or finger pain, hemoptysis, hysterical behavior, intermenstrual bleeding, restlessness, stuttering or stammering, swollen tongue, symptoms of infants"
Rabies,"allergic reaction, emotional symptoms, excessive growth, eyelid swelling, fainting, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, wrist lump or mass"
Hemolytic anemia,"acne or pimples, coryza, fainting, feet turned in, itching of scrotum, jaw swelling, nasal congestion, penis redness, skin dryness, peeling, scaliness, or roughness, stiffness all over, swelling of scrotum, warts"
Lateral epicondylitis (tennis elbow),"arm lump or mass, elbow cramps or spasms, elbow lump or mass, elbow stiffness or tightness, hand or finger lump or mass, hand or finger pain, irregular appearing scalp, jaw swelling, long menstrual periods, palpitations, shoulder lump or mass, wrist lump or mass"
Syphilis,"arm cramps or spasms, cloudy eye, discharge in stools, foot or toe stiffness or tightness, hand or finger weakness, incontinence of stool, itching of scrotum, muscle cramps, contractures, or spasms, muscle swelling, premenstrual tension or irritability, skin pain, vaginal bleeding after menopause"
Diabetic kidney disease,"blood clots during menstrual periods, decreased heart rate, emotional symptoms, headache, hot flashes, hysterical behavior, involuntary urination, knee weakness, lacrimation, leg stiffness or tightness, symptoms of the face, temper problems"
Nose disorder,"constipation, coryza, diarrhea, dry or flaky scalp, eyelid swelling, feet turned in, hand or finger weakness, nailbiting, nose deformity, painful menstruation, side pain, sore in nose"
Drug withdrawal,"abnormal breathing sounds, abusing alcohol, ankle weakness, antisocial behavior, chest tightness, delusions or hallucinations, diaper rash, disturbance of smell or taste, nasal congestion, scanty menstrual flow, seizures, vaginal redness"
Dental caries,"dry or flaky scalp, eyelid swelling, groin pain, jaw pain, mouth dryness, neck stiffness or tightness, pain in eye, penis redness, regurgitation, skin growth, skin rash, too little hair"
Kidney failure,"arm stiffness or tightness, leg stiffness or tightness, leg swelling, lump over jaw, mouth ulcer, nasal congestion, sharp abdominal pain, sharp chest pain, swelling of scrotum, symptoms of the face, vaginal redness, warts"
Muscle spasm,"abnormal breathing sounds, arm lump or mass, back mass or lump, hand or finger weakness, lacrimation, leg lump or mass, long menstrual periods, low back cramps or spasms, mouth ulcer, neck mass, sharp abdominal pain, shoulder lump or mass"
Hemophilia,"abnormal size or shape of ear, bleeding from eye, coryza, frequent urination, groin mass, hand or finger weakness, heavy menstrual flow, leg lump or mass, mass or swelling around the anus, nose deformity, skin oiliness, upper abdominal pain"
Hyperosmotic hyperketotic state,"burning abdominal pain, coryza, diminished hearing, facial pain, frequent menstruation, melena, mouth pain, neck mass, obsessions and compulsions, seizures, temper problems, warts"
Peritonsillar abscess,"chest tightness, difficulty eating, dry or flaky scalp, feet turned in, hand or finger weakness, neck stiffness or tightness, sore in nose, swollen eye, swollen lymph nodes, thirst, throat irritation, throat redness"
Gastroparesis,"bumps on penis, congestion in chest, diaper rash, fainting, headache, long menstrual periods, nasal congestion, redness in or around nose, seizures, sharp abdominal pain, unwanted hair, vaginal redness"
Itching of unknown cause,"abdominal distention, acne or pimples, fluid in ear, itching of scrotum, itchy eyelid, palpitations, premenstrual tension or irritability, sinus congestion, skin growth, skin pain, smoking problems, vaginal dryness"
Fat embolism,"allergic reaction, emotional symptoms, excessive growth, eyelid swelling, fainting, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, wrist lump or mass"
Polycythemia vera,"difficulty breathing, disturbance of smell or taste, fainting, hand or finger weakness, itching of scrotum, jaw swelling, joint stiffness or tightness, redness in or around nose, skin irritation, sore throat, symptoms of bladder, weakness"
Thrombocytopenia,"bleeding from eye, blood clots during menstrual periods, blood in stool, eyelid retracted, fainting, irregular appearing nails, irregular appearing scalp, lump over jaw, mouth dryness, nose deformity, sharp abdominal pain, tongue bleeding"
Head and neck cancer,"bleeding gums, difficulty eating, eyelid swelling, heavy menstrual flow, hip weakness, mouth dryness, neck cramps or spasms, peripheral edema, sore in nose, thirst, tongue bleeding, tongue lesions"
Pseudohypoparathyroidism,"allergic reaction, elbow swelling, foot or toe lump or mass, hip lump or mass, jaw swelling, knee lump or mass, leg lump or mass, leg stiffness or tightness, low back cramps or spasms, skin irritation, wrist lump or mass, wrist stiffness or tightness"
Goiter,"arm swelling, blood in urine, difficulty eating, fainting, feeling hot, headache, hostile behavior, leg swelling, lower body pain, neck cramps or spasms, neck stiffness or tightness, weakness"
Urge incontinence,"back mass or lump, blood in stool, congestion in chest, excessive growth, frequent menstruation, intermenstrual bleeding, painful sinuses, restlessness, stuttering or stammering, swollen tongue, symptoms of infants, vaginal dryness"
Edward syndrome,"cramps and spasms, excessive appetite, eye redness, feet turned in, itchy ear(s), joint pain, knee cramps or spasms, muscle weakness, shoulder stiffness or tightness, stuttering or stammering, vulvar irritation, wrist swelling"
Muscular dystrophy,"coryza, dizziness, fainting, fears and phobias, hand or finger lump or mass, hand or finger weakness, hip lump or mass, long menstrual periods, muscle swelling, nailbiting, problems during pregnancy, warts"
Mittelschmerz,"ache all over, bumps on penis, diaper rash, feet turned in, intermenstrual bleeding, lip swelling, low urine output, pain or soreness of breast, paresthesia, seizures, shoulder weakness, vaginal redness"
Corneal abrasion,"diminished hearing, excessive urination at night, eye moves abnormally, eye strain, eyelid retracted, foot or toe weakness, irritable infant, lack of growth, pain during pregnancy, swollen abdomen, symptoms of bladder, wheezing"
Intracranial hemorrhage,"abnormal breathing sounds, depression, difficulty in swallowing, diminished hearing, discharge in stools, disturbance of smell or taste, hand or finger weakness, jaw swelling, problems during pregnancy, scanty menstrual flow, vaginal redness, warts"
Hyperkalemia,"cross-eyed, decreased appetite, depression, difficulty eating, disturbance of smell or taste, feeling hot and cold, nasal congestion, seizures, sharp abdominal pain, sharp chest pain, vaginal redness, warts"
Cornea infection,"diminished hearing, excessive urination at night, eye moves abnormally, foot or toe weakness, irritable infant, itchy ear(s), lack of growth, lip sore, pain during pregnancy, sore throat, swollen abdomen, symptoms of bladder"
Abscess of the lung,"back mass or lump, coryza, depression, double vision, excessive appetite, hand or finger weakness, heavy menstrual flow, itchy ear(s), sharp abdominal pain, sharp chest pain, vaginal redness, wrist swelling"
Dengue fever,"allergic reaction, emotional symptoms, eyelid swelling, feet turned in, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, sore in nose, wrist lump or mass"
Chronic sinusitis,"cloudy eye, constipation, coryza, dry or flaky scalp, eyelid swelling, feet turned in, frequent urination, hand or finger weakness, nailbiting, painful menstruation, side pain, sore in nose"
Cholesteatoma,"acne or pimples, bladder mass, difficulty speaking, dry or flaky scalp, flu-like syndrome, mass in scrotum, muscle stiffness or tightness, nailbiting, peripheral edema, pupils unequal, rectal bleeding, skin dryness, peeling, scaliness, or roughness"
Volvulus,"back mass or lump, bumps on penis, congestion in chest, depression, diaper rash, early or late onset of menopause, elbow swelling, excessive appetite, nasal congestion, penis redness, seizures, vaginal redness"
Poisoning due to analgesics,"absence of menstruation, blood clots during menstrual periods, delusions or hallucinations, depression, emotional symptoms, headache, hoarse voice, low back weakness, premenstrual tension or irritability, skin rash, throat feels tight, vaginal redness"
Pinworm infection,"allergic reaction, bumps on penis, congestion in chest, constipation, itching of scrotum, itching of skin, neck cramps or spasms, pain in testicles, painful sinuses, restlessness, seizures, skin pain"
Urethral valves,"blood in stool, congestion in chest, elbow swelling, low back swelling, low urine output, muscle stiffness or tightness, nasal congestion, seizures, shoulder weakness, skin dryness, peeling, scaliness, or roughness, stuttering or stammering, vaginal redness"
Achalasia,"back mass or lump, changes in stool appearance, coryza, coughing up sputum, difficulty eating, hip weakness, hot flashes, lower body pain, redness in or around nose, retention of urine, sharp abdominal pain, thirst"
Conductive hearing loss,"difficulty in swallowing, difficulty speaking, disturbance of smell or taste, dry or flaky scalp, flu-like syndrome, hip weakness, knee weakness, low back weakness, peripheral edema, rectal bleeding, rib pain, swollen lymph nodes"
Abdominal hernia,"abusing alcohol, frontal headache, groin mass, infant feeding problem, irregular appearing scalp, low urine output, redness in or around nose, seizures, sweating, swelling of scrotum, symptoms of the kidneys, unwanted hair"
Cerebral palsy,"arm weakness, bleeding or discharge from nipple, coughing up sputum, difficulty breathing, increased heart rate, knee weakness, lacrimation, leg weakness, problems during pregnancy, scanty menstrual flow, swollen or red tonsils, tongue bleeding"
Marijuana abuse,"absence of menstruation, antisocial behavior, decreased heart rate, delusions or hallucinations, depression, difficulty in swallowing, drainage in throat, emotional symptoms, fatigue, hoarse voice, low back weakness, symptoms of the scrotum and testes"
Cryptococcosis,"cramps and spasms, depression, eye redness, facial pain, hip pain, itchy ear(s), lip sore, muscle weakness, scanty menstrual flow, shoulder stiffness or tightness, vulvar irritation, wrist swelling"
Indigestion,"bumps on penis, congestion in chest, cross-eyed, diaper rash, headache, nasal congestion, redness in or around nose, seizures, sharp abdominal pain, stiffness all over, unwanted hair, vaginal redness"
Bursitis,"arm lump or mass, arm pain, arm stiffness or tightness, elbow lump or mass, elbow stiffness or tightness, hip lump or mass, knee lump or mass, knee stiffness or tightness, leg lump or mass, leg stiffness or tightness, shoulder lump or mass, shoulder pain"
Esophageal cancer,"abusing alcohol, change in skin mole size or color, cross-eyed, difficulty eating, fainting, hip weakness, mouth dryness, seizures, sharp chest pain, stiffness all over, vaginal redness, warts"
Pulmonary congestion,"changes in stool appearance, cloudy eye, coryza, decreased appetite, diarrhea, feet turned in, fluid in ear, leg stiffness or tightness, nailbiting, sharp abdominal pain, sharp chest pain, warts"
Juvenile rheumatoid arthritis,"allergic reaction, ankle stiffness or tightness, back mass or lump, blood in urine, hand or finger lump or mass, hand or finger stiffness or tightness, jaw swelling, knee lump or mass, knee stiffness or tightness, paresthesia, problems during pregnancy, wrist stiffness or tightness"
Actinic keratosis,"abdominal distention, irregular appearing nails, itching of scrotum, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin lesion, skin pain, skin rash, symptoms of prostate, vulvar sore"
Acute otitis media,"constipation, coryza, difficulty speaking, dry or flaky scalp, feet turned in, flu-like syndrome, nailbiting, peripheral edema, problems with shape or size of breast, rectal bleeding, sore in nose, vaginal redness"
Astigmatism,"cramps and spasms, diminished hearing, dizziness, eye burns or stings, eye deviation, eye moves abnormally, foot or toe weakness, irritable infant, lack of growth, pain during pregnancy, sore throat, symptoms of bladder"
Tuberous sclerosis,"coughing up sputum, decreased heart rate, depression, difficulty in swallowing, elbow swelling, excessive appetite, feeling hot, low back swelling, scanty menstrual flow, shoulder lump or mass, symptoms of the face, toothache"
Empyema,"abdominal distention, back mass or lump, constipation, coryza, diarrhea, hot flashes, leg lump or mass, seizures, sharp abdominal pain, sharp chest pain, skin irritation, skin pain"
Presbyacusis,"difficulty speaking, disturbance of smell or taste, dry or flaky scalp, early or late onset of menopause, elbow swelling, elbow weakness, excessive appetite, feeling hot, low back swelling, neck pain, rib pain, wrist swelling"
Neonatal jaundice,"change in skin mole size or color, double vision, fever, flu-like syndrome, increased heart rate, infant feeding problem, irregular appearing nails, irregular appearing scalp, irregular heartbeat, itchy scalp, knee weakness, recent pregnancy"
Chronic obstructive pulmonary disease (COPD),"changes in stool appearance, cloudy eye, constipation, coryza, cough, diarrhea, feet turned in, nailbiting, sharp abdominal pain, sharp chest pain, sore in nose, weight gain"
Spondylosis,"abusing alcohol, arm lump or mass, back mass or lump, hip lump or mass, knee lump or mass, leg lump or mass, long menstrual periods, low back cramps or spasms, lower abdominal pain, neck mass, palpitations, shoulder lump or mass"
Herpangina,"abdominal distention, coryza, cross-eyed, feet turned in, infrequent menstruation, mouth pain, rectal bleeding, skin pain, sore in nose, swollen eye, tongue bleeding, vaginal redness"
Injury to the shoulder,"arm lump or mass, arm pain, arm swelling, back mass or lump, blood in urine, elbow lump or mass, lower abdominal pain, mouth ulcer, neck mass, shoulder lump or mass, shoulder pain, shoulder stiffness or tightness"
Poisoning due to antidepressants,"absence of menstruation, acne or pimples, back swelling, delusions or hallucinations, discharge in stools, drainage in throat, elbow weakness, facial pain, hand or finger weakness, muscle cramps, contractures, or spasms, skin swelling, warts"
Infection of open wound,"abdominal distention, chest tightness, cross-eyed, feet turned in, fluid in ear, hand or finger stiffness or tightness, infrequent menstruation, leg lump or mass, leg stiffness or tightness, skin irritation, skin oiliness, skin rash"
Deep vein thrombosis (DVT),"abdominal distention, ankle stiffness or tightness, arm stiffness or tightness, disturbance of memory, foot or toe stiffness or tightness, lacrimation, leg cramps or spasms, leg lump or mass, leg pain, leg stiffness or tightness, palpitations, penis redness"
Protein deficiency,"abusing alcohol, congestion in chest, cross-eyed, delusions or hallucinations, disturbance of smell or taste, fainting, nasal congestion, seizures, sharp chest pain, slurring words, vaginal redness, warts"
Myoclonus,"abnormal breathing sounds, apnea, discharge in stools, double vision, eye deviation, facial pain, infrequent menstruation, long menstrual periods, muscle stiffness or tightness, problems during pregnancy, scanty menstrual flow, skin swelling"
Bone spur of the calcaneous,"allergic reaction, ankle stiffness or tightness, elbow lump or mass, foot or toe lump or mass, foot or toe stiffness or tightness, headache, jaw swelling, leg lump or mass, muscle cramps, contractures, or spasms, palpitations, problems during pregnancy, weakness"
Von Willebrand disease,"abnormal movement of eyelid, arm lump or mass, blood clots during menstrual periods, bumps on penis, fainting, heartburn, itchy eyelid, lip swelling, low back swelling, muscle stiffness or tightness, nose deformity, wrist lump or mass"
Heart block,"changes in stool appearance, decreased appetite, disturbance of smell or taste, facial pain, incontinence of stool, irregular belly button, pallor, penis redness, sharp abdominal pain, sharp chest pain, warts, weakness"
Colonic polyp,"blood clots during menstrual periods, change in skin mole size or color, congestion in chest, diaper rash, diminished vision, fever, headache, pain in testicles, recent weight loss, redness in or around nose, seizures, unwanted hair"
Magnesium deficiency,"diaper rash, disturbance of smell or taste, lacrimation, leg lump or mass, nasal congestion, pallor, scanty menstrual flow, seizures, sharp abdominal pain, sharp chest pain, vaginal redness, warts"
Pericarditis,"changes in stool appearance, diarrhea, facial pain, hot flashes, irregular belly button, lower abdominal pain, lump over jaw, nasal congestion, pallor, seizures, sharp abdominal pain, sharp chest pain"
Attention deficit hyperactivity disorder (ADHD),"ankle weakness, antisocial behavior, delusions or hallucinations, depression, drainage in throat, emotional symptoms, hoarse voice, knee weakness, low back weakness, nosebleed, regurgitation, symptoms of the scrotum and testes"
Neuromyelitis optica,"abusing alcohol, arm lump or mass, diminished hearing, excessive appetite, knee cramps or spasms, long menstrual periods, muscle weakness, nausea, painful sinuses, shoulder stiffness or tightness, vulvar irritation, warts"
Pulmonic valve disease,"early or late onset of menopause, elbow swelling, elbow weakness, excessive appetite, feeling hot, knee weakness, leg lump or mass, low back cramps or spasms, low back swelling, muscle weakness, sharp chest pain, wrist swelling"
Tietze syndrome,"back mass or lump, changes in stool appearance, coryza, diarrhea, hot flashes, long menstrual periods, nasal congestion, pain of the anus, retention of urine, sharp abdominal pain, sharp chest pain, shoulder weakness"
Cranial nerve palsy,"abnormal breathing sounds, abnormal involuntary movements, coughing up sputum, difficulty in swallowing, diminished hearing, dizziness, eyelid swelling, hand or finger weakness, long menstrual periods, pain during pregnancy, pulling at ears, symptoms of prostate"
Injury to the arm,"arm lump or mass, arm pain, arm stiffness or tightness, blood in urine, elbow lump or mass, elbow stiffness or tightness, hand or finger lump or mass, hand or finger stiffness or tightness, jaw swelling, long menstrual periods, wrist lump or mass, wrist stiffness or tightness"
Conversion disorder,"abnormal breathing sounds, acne or pimples, antisocial behavior, coryza, delusions or hallucinations, facial pain, fainting, flushing, scanty menstrual flow, sore in nose, suprapubic pain, warts"
Complex regional pain syndrome,"abnormal breathing sounds, abusing alcohol, arm lump or mass, back mass or lump, foot or toe lump or mass, hand or finger lump or mass, leg lump or mass, long menstrual periods, low back cramps or spasms, neck mass, palpitations, problems during pregnancy"
Otosclerosis,"difficulty speaking, disturbance of smell or taste, dry or flaky scalp, early or late onset of menopause, elbow swelling, elbow weakness, low back swelling, muscle stiffness or tightness, muscle weakness, peripheral edema, toothache, wrist swelling"
Injury to the trunk,"back mass or lump, blood in urine, hand or finger weakness, low back cramps or spasms, lower abdominal pain, neck mass, retention of urine, sharp abdominal pain, shoulder lump or mass, side pain, symptoms of the kidneys, wrist lump or mass"
Primary insomnia,"abnormal appearing tongue, abnormal breathing sounds, antisocial behavior, anxiety and nervousness, decreased heart rate, fainting, hand or finger weakness, infrequent menstruation, neck mass, scanty menstrual flow, skin swelling, sleepiness"
Lice,"coryza, feet turned in, itching of scrotum, itchy eyelid, leg cramps or spasms, nailbiting, skin irritation, skin moles, skin pain, slurring words, smoking problems, vulvar sore"
Vitamin B12 deficiency,"abnormal appearing skin, discharge in stools, fainting, headache, hostile behavior, knee pain, lacrimation, palpitations, problems during pregnancy, suprapubic pain, symptoms of prostate, tongue pain"
Vulvodynia,"back mass or lump, bumps on penis, coughing up sputum, low urine output, nasal congestion, pain during intercourse, painful sinuses, paresthesia, seizures, shoulder weakness, vaginal bleeding after menopause, vaginal itching"
Endometriosis,"abnormal size or shape of ear, bumps on penis, chest tightness, heartburn, hostile behavior, infant spitting up, insomnia, low urine output, pain or soreness of breast, paresthesia, seizures, vaginal itching"
Vasculitis,"disturbance of smell or taste, foot or toe stiffness or tightness, hand or finger weakness, leg cramps or spasms, leg lump or mass, leg pain, lump over jaw, peripheral edema, skin growth, skin irritation, skin pain, swollen or red tonsils"
Concussion,"back mass or lump, difficulty in swallowing, discharge in stools, disturbance of smell or taste, dizziness, eyelid swelling, hand or finger weakness, nasal congestion, neck mass, retention of urine, skin swelling, vaginal redness"
Oral leukoplakia,"early or late onset of menopause, elbow swelling, excessive appetite, feet turned in, groin pain, heavy menstrual flow, low back swelling, mouth dryness, skin rash, tongue bleeding, toothache, wrist swelling"
Bladder disorder,"bedwetting, blood in stool, constipation, frequent menstruation, intermenstrual bleeding, low urine output, painful sinuses, paresthesia, restlessness, seizures, stuttering or stammering, swollen tongue"
Chorioretinitis,"diminished hearing, dizziness, early or late onset of menopause, excessive urination at night, foot or toe weakness, irritable infant, kidney mass, low back swelling, muscle stiffness or tightness, pain during pregnancy, pus in sputum, sore throat"
Priapism,"absence of menstruation, abusing alcohol, acne or pimples, back mass or lump, drainage in throat, elbow swelling, hysterical behavior, lacrimation, obsessions and compulsions, painful sinuses, penile discharge, posture problems"
Myositis,"back mass or lump, hand or finger weakness, hip lump or mass, knee lump or mass, leg lump or mass, leg swelling, long menstrual periods, lower abdominal pain, muscle cramps, contractures, or spasms, palpitations, problems during pregnancy, skin pain"
Mononucleosis,"abusing alcohol, coryza, dry or flaky scalp, fainting, feeling hot and cold, feet turned in, hand or finger weakness, nailbiting, nasal congestion, skin pain, sore in nose, swollen eye"
Neuralgia,"abusing alcohol, arm lump or mass, back mass or lump, foot or toe lump or mass, hand or finger weakness, hip lump or mass, leg lump or mass, long menstrual periods, low back cramps or spasms, neck mass, palpitations, shoulder lump or mass"
Polycystic kidney disease,"back mass or lump, blood in stool, frequent menstruation, joint swelling, low back cramps or spasms, painful sinuses, restlessness, seizures, shoulder weakness, skin dryness, peeling, scaliness, or roughness, stuttering or stammering, symptoms of the face"
Bipolar disorder,"absence of menstruation, antisocial behavior, decreased heart rate, delusions or hallucinations, depression, drainage in throat, emotional symptoms, fatigue, hoarse voice, infrequent menstruation, nosebleed, symptoms of the scrotum and testes"
Amyloidosis,"abdominal distention, antisocial behavior, cloudy eye, eye redness, fainting, feeling hot, feet turned in, muscle weakness, sharp chest pain, symptoms of the face, warts, wrist swelling"
Chronic inflammatory demyelinating polyneuropathy (CIDP),"abnormal breathing sounds, disturbance of smell or taste, eyelid swelling, fainting, flushing, hand or finger swelling, lacrimation, leg lump or mass, leg swelling, long menstrual periods, problems during pregnancy, warts"
Gastroesophageal reflux disease (GERD),"bumps on penis, changes in stool appearance, coryza, difficulty eating, headache, hip weakness, nasal congestion, redness in or around nose, seizures, sharp abdominal pain, unwanted hair, vaginal redness"
Poisoning due to antimicrobial drugs,"abnormal breathing sounds, acne or pimples, coryza, depression, nasal congestion, palpitations, penis redness, postpartum problems of the breast, problems during pregnancy, sharp chest pain, skin pain, vaginal redness"
Open wound of the mouth,"bleeding gums, groin pain, lip sore, mouth dryness, mouth pain, neck stiffness or tightness, penis redness, scanty menstrual flow, smoking problems, throat swelling, tongue bleeding, too little hair"
Scleroderma,"abdominal distention, ache all over, feeling hot and cold, irregular appearing nails, itching of scrotum, lip sore, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin pain, vulvar sore"
Myasthenia gravis,"abnormal involuntary movements, arm swelling, cough, diminished hearing, disturbance of smell or taste, dizziness, fainting, flushing, hand or finger weakness, sharp chest pain, sleepwalking, warts"
Hypoglycemia,"abnormal breathing sounds, cross-eyed, depression, disturbance of smell or taste, facial pain, feeling hot and cold, nasal congestion, problems during pregnancy, scanty menstrual flow, skin swelling, suprapubic pain, warts"
Idiopathic absence of menstruation,"abnormal size or shape of ear, headache, lip swelling, low urine output, nasal congestion, pain of the anus, paresthesia, seizures, underweight, vaginal bleeding after menopause, vaginal dryness, weakness"
Dislocation of the ankle,"allergic reaction, ankle stiffness or tightness, early or late onset of menopause, elbow swelling, elbow weakness, eye redness, feeling hot, foot or toe lump or mass, low back swelling, muscle stiffness or tightness, toothache, wrist swelling"
Carbon monoxide poisoning,"depression, diaper rash, disturbance of smell or taste, early or late onset of menopause, elbow weakness, facial pain, frequent urination, hand or finger weakness, low back swelling, nasal congestion, skin swelling, vaginal redness"
Panic attack,"antisocial behavior, bowlegged or knock-kneed, changes in stool appearance, diarrhea, disturbance of smell or taste, facial pain, hand or finger weakness, irregular belly button, long menstrual periods, sharp abdominal pain, sharp chest pain, warts"
Plantar fasciitis,"allergic reaction, ankle stiffness or tightness, blood in urine, burning chest pain, focal weakness, foot or toe lump or mass, foot or toe stiffness or tightness, itchy eyelid, knee lump or mass, lower abdominal pain, muscle cramps, contractures, or spasms, problems during pregnancy"
Hyperopia,"abnormal involuntary movements, bleeding or discharge from nipple, difficulty in swallowing, diminished hearing, eye burns or stings, eye deviation, eye moves abnormally, irritable infant, nausea, pain during pregnancy, sore throat, symptoms of bladder"
Poisoning due to sedatives,"absence of menstruation, decreased heart rate, delusions or hallucinations, depression, discharge in stools, drainage in throat, emotional symptoms, hoarse voice, infrequent menstruation, problems during pregnancy, skin swelling, sleepwalking"
Pemphigus,"abdominal distention, arm lump or mass, foot or toe lump or mass, hand or finger lump or mass, irregular appearing nails, itching of scrotum, mouth dryness, mouth pain, penis redness, skin growth, skin irritation, skin pain"
Peyronie disease,"blood in stool, breathing fast, elbow weakness, frequent menstruation, hysterical behavior, infant spitting up, low urine output, lymphedema, penile discharge, suprapubic pain, symptoms of infants, vulvar sore"
Hiatal hernia,"back mass or lump, bumps on penis, difficulty eating, disturbance of smell or taste, headache, nasal congestion, redness in or around nose, seizures, sharp abdominal pain, unwanted hair, vaginal redness, vomiting"
Extrapyramidal effect of drugs,"abnormal breathing sounds, antisocial behavior, arm pain, coughing up sputum, decreased heart rate, discharge in stools, hand or finger weakness, nasal congestion, neck pain, problems during pregnancy, regurgitation, scanty menstrual flow"
Meniere disease,"acne or pimples, bladder mass, difficulty speaking, disturbance of smell or taste, dry or flaky scalp, eyelid swelling, hand or finger weakness, headache, hysterical behavior, nasal congestion, peripheral edema, rib pain"
Anal fissure,"blood clots during menstrual periods, change in skin mole size or color, congestion in chest, coughing up sputum, irregular appearing scalp, irritable infant, lower abdominal pain, pain in testicles, recent weight loss, seizures, symptoms of infants, vaginal discharge"
Allergy,"abdominal distention, acne or pimples, coryza, fluid in ear, irritable infant, itching of scrotum, lip sore, penis redness, skin pain, skin rash, swollen abdomen, swollen or red tonsils"
Chronic otitis media,"acne or pimples, bladder mass, coryza, difficulty speaking, dry or flaky scalp, feet turned in, flu-like syndrome, nailbiting, painful menstruation, peripheral edema, problems with shape or size of breast, rectal bleeding"
Hirschsprung disease,"allergic reaction, congestion in chest, elbow swelling, elbow weakness, eye redness, feeling hot, low back swelling, muscle weakness, seizures, toothache, vaginal redness, wrist swelling"
Polymyalgia rheumatica,"abusing alcohol, difficulty eating, fainting, hip lump or mass, irregular belly button, leg lump or mass, leg swelling, muscle cramps, contractures, or spasms, sharp abdominal pain, shoulder lump or mass, spotting or bleeding during pregnancy, symptoms of the scrotum and testes"
Lymphedema,"abdominal distention, fluid in ear, foot or toe stiffness or tightness, leg lump or mass, leg stiffness or tightness, lump over jaw, neck cramps or spasms, penis redness, sinus congestion, skin irritation, skin on head or neck looks infected, throat redness"
Bladder cancer,"bedwetting, blood in stool, excessive growth, frontal headache, joint swelling, lymphedema, obsessions and compulsions, pelvic pressure, penis pain, restlessness, swollen tongue, symptoms of infants"
Acute bronchospasm,"changes in stool appearance, constipation, coryza, diarrhea, feet turned in, hand or finger weakness, nailbiting, sharp abdominal pain, sharp chest pain, sore in nose, vaginal redness, weight gain"
Sciatica,"arm weakness, back mass or lump, hip lump or mass, lacrimation, leg lump or mass, leg swelling, long menstrual periods, low back cramps or spasms, lower abdominal pain, palpitations, problems during pregnancy, unpredictable menstruation"
Hypercalcemia,"acne or pimples, apnea, decreased heart rate, disturbance of smell or taste, feeling hot and cold, flushing, hand or finger swelling, involuntary urination, leg swelling, long menstrual periods, restlessness, warts"
Stress incontinence,"blood in stool, excessive growth, frequent menstruation, hostile behavior, insomnia, intermenstrual bleeding, painful sinuses, paresthesia, restlessness, stuttering or stammering, swollen tongue, weakness"
Benign kidney cyst,"back mass or lump, blood in stool, cross-eyed, double vision, hysterical behavior, intermenstrual bleeding, low back cramps or spasms, seizures, shoulder weakness, symptoms of infants, symptoms of the face, vaginal redness"
Hydrocele of the testicle,"blood in stool, excessive growth, frontal headache, groin mass, hysterical behavior, low urine output, lymphedema, pain in gums, restlessness, skin dryness, peeling, scaliness, or roughness, sweating, symptoms of the kidneys"
Degenerative disc disease,"abusing alcohol, arm lump or mass, back mass or lump, hip lump or mass, jaw swelling, leg lump or mass, long menstrual periods, low back cramps or spasms, lower abdominal pain, neck mass, palpitations, shoulder lump or mass"
Hirsutism,"abdominal distention, ache all over, anxiety and nervousness, fainting, heartburn, infant spitting up, skin lesion, tongue pain, underweight, unusual color or odor to urine, vulvar sore, weakness"
Dislocation of the foot,"allergic reaction, early or late onset of menopause, elbow swelling, eye redness, feeling hot, foot or toe lump or mass, knee swelling, low back swelling, muscle stiffness or tightness, toothache, vaginal redness, wrist swelling"
Hydronephrosis,"back mass or lump, blood in stool, low urine output, lower abdominal pain, nasal congestion, pain in gums, seizures, shoulder weakness, stuttering or stammering, swollen tongue, symptoms of the face, vaginal redness"
Diverticulosis,"blood clots during menstrual periods, bumps on penis, congestion in chest, diaper rash, headache, low urine output, mass or swelling around the anus, nasal congestion, recent weight loss, seizures, unwanted hair, vaginal redness"
Pain after an operation,"back mass or lump, hand or finger weakness, leg lump or mass, low back cramps or spasms, low urine output, nasal congestion, neck mass, seizures, sharp abdominal pain, shoulder weakness, too little hair, vaginal redness"
